14,29,0,87,107,25,0,66,0
9,9,0,138,79,14,26,22,0
9,4,0,6,64,15,0,10,0
11,86,0,170,226,30,34,87,0
2,2,0,2,12,5,0,2,0
10,69,0,94,203,20,33,60,1
6,2,0,6,71,12,0,6,1
10,31,0,0,46,6,1,43,0
8,69,0,150,200,15,4,25,0
8,5,0,12,60,20,0,5,1
11,15,1,64,168,40,28,20,0
11,10,1,17,90,14,3,18,0
11,12,1,0,59,35,1,34,0
2,36,0,64,66,1,0,38,1
7,14,0,0,53,18,0,28,0
6,31,0,5,146,21,1,61,0
6,21,0,12,45,11,0,16,1
2,0,0,2,4,1,0,3,0
9,21,0,19,121,16,6,57,1
5,1,0,13,27,9,7,16,0
12,6,1,38,82,46,13,44,0
8,33,2,13,90,21,3,75,1
16,104,0,166,326,39,45,115,0
1,0,0,0,0,1,0,0,1
5,27,1,18,70,15,0,41,0
29,45,0,68,337,160,1324,171,0
6,0,0,48,49,7,0,22,1
26,229,0,6,520,71,175,237,0
14,67,3,34,168,45,51,114,0
1,0,0,0,0,1,0,0,1
9,29,5,20,93,48,23,62,0
16,34,2,141,239,48,40,85,0
8,0,3,40,67,26,12,4,0
7,20,1,2,32,9,0,26,1
10,20,2,8,98,37,22,58,1
6,1,1,19,73,16,3,9,0
8,7,0,4,44,4,0,8,0
13,3,1,18,63,20,16,7,0
10,37,0,59,203,32,18,100,0
8,0,0,29,61,17,0,39,1
11,31,10,3,147,41,25,90,0
17,33,1,72,160,69,4,72,0
6,6,0,26,63,7,0,13,0
8,27,5,17,92,44,3,71,0
2,2,0,8,22,5,0,1,0
9,29,0,40,109,21,4,74,0
8,27,5,18,68,25,33,53,0
6,5,0,2,24,15,0,8,0
12,8,1,39,111,27,34,11,0
5,2,5,30,99,42,76,3,0
11,19,5,33,134,34,34,66,0
14,34,0,30,138,27,6,80,0
1,0,0,0,0,1,0,0,1
4,2,0,0,18,8,0,4,1
14,7,2,8,52,29,7,42,0
5,1,1,23,37,18,2,1,0
8,28,0,34,80,10,1,38,1
2,4,1,10,12,9,0,1,1
14,13,2,7,74,46,13,39,0
8,3,0,62,94,22,34,5,1
1,0,0,0,0,1,0,0,1
10,10,0,52,233,17,3,12,0
11,55,5,30,129,58,4,91,0
7,3,0,0,16,2,0,5,1
3,0,0,31,67,19,23,5,1
2,6,0,0,14,5,0,10,1
3,4,1,0,12,28,0,4,1
12,10,2,58,248,50,25,17,0
14,38,3,26,90,14,16,63,0
1,0,0,0,1,5,0,1,1
11,50,5,61,146,54,9,108,0
8,54,3,58,1152,32,42,88,0
7,4,2,32,97,27,4,8,0
8,36,0,17,72,17,10,56,0
9,36,1,28,109,25,26,76,0
4,22,0,9,76,7,0,41,1
5,8,1,12,47,6,1,20,0
1,0,0,0,2,2,0,1,1
2,2,0,0,3,4,0,2,1
3,34,0,14,58,4,0,51,1
4,8,0,24,23,14,0,11,1
13,17,1,39,78,25,16,52,1
4,30,5,29,80,29,28,55,0
15,0,0,0,34,4,0,1,1
6,31,0,101,105,36,22,42,1
7,12,2,55,88,33,11,58,0
1,0,0,0,0,2,0,0,1
10,81,1,64,165,36,13,34,0
16,32,4,18,128,39,5,56,0
18,39,1,53,234,50,54,92,0
1,0,0,8,4,7,0,0,1
2,0,0,26,16,4,0,7,0
7,47,3,62,127,34,86,92,0
8,27,2,47,136,20,24,51,0
9,3,1,42,95,30,22,26,0
2,1,0,0,3,4,0,1,1
4,0,0,58,38,10,0,18,1
9,61,1,54,252,40,20,130,0
2,13,0,4,35,3,0,22,1
10,22,5,16,84,40,34,56,0
5,0,2,46,70,30,5,3,0
1,0,1,0,3,3,0,0,1
11,36,1,56,128,46,26,74,0
7,54,6,18,163,33,14,74,0
10,2,2,39,85,29,7,7,0
4,5,0,0,20,8,0,10,0
13,29,21,23,108,49,96,65,0
17,57,5,52,176,69,7,119,0
5,11,2,0,36,12,17,18,0
1,4,1,0,10,9,0,6,1
9,6,1,17,58,23,2,26,1
15,22,3,29,100,42,114,67,0
7,4,0,19,138,39,7,9,0
13,23,13,16,110,42,45,72,0
3,10,2,7,127,11,4,2,0
10,68,4,42,200,55,23,142,0
7,41,4,31,68,21,39,57,0
19,60,0,28,247,70,0,58,0
2,2,0,0,3,5,0,2,1
1,15,0,8,65,15,8,24,1
3,1,1,54,51,18,1,18,1
17,42,0,14,101,19,0,79,0
10,73,8,216,307,57,239,114,0
2,3,0,0,8,4,0,3,1
12,21,0,38,90,13,3,53,0
3,3,1,10,40,13,11,3,0
5,8,0,0,16,5,0,12,0
7,17,0,27,59,13,0,49,0
1,1,0,0,4,3,0,1,1
9,38,1,15,71,23,4,55,0
10,8,2,5,42,20,4,32,1
18,26,14,249,834,135,472,231,0
13,23,1,24,72,30,3,49,1
